推广团  (AWE) , /tœy˥.ɡɔːŋ˧˥.tyːn˨˩/ , cantonese
伴  (AWE) , /buːn˨/ , cantonese
投诉  (AWE) , /tɐu˨˩.sou˧/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
四季如春  (AWE) , /sei˧.ɡʷɐi˧.jyː˨˩.tsœːn˥/ , cantonese
千四  (AWE) , /tsiːn˥.sei˧/ , cantonese
嘛  (AWE) , /maː˧/ , cantonese
啦  (AWE) , /laː˥/ , cantonese
啦  (AWE) , /laː˥/ , cantonese
啦  (AWE) , /laː˥/ , cantonese
有  (AWE) , /jɐu˩˧/ , cantonese
南国旅  (AWE) , /laːm˨˩.ɡɔːk˧.lœy˩˧/ , cantonese
唉  (AWE) , /aːĭ˥/ , cantonese
千四  (AWE) , /tsiːn˥.sei˧/ , cantonese
三清山  (AWE) , /saːm˥.tsɛːŋ˥.saːn˥/ , cantonese
扮嗮野  (AWE) , /baːn˨.saːĭ˧.jɛː˩˧/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
哦  (AWE) , /ɔː˥/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
玉龙雪山  (AWE) , /jyːk˨.luːŋ˨˩.syːt˧.saːn˥/ , cantonese
双黄  (AWE) , /sœːŋ˥.wɔːŋ˨˩/ , cantonese
南国旅  (AWE) , /laːm˨˩.ɡɔːk˧.lœy˩˧/ , cantonese
细声  (AWE) , /sɐi˧.sɛːŋ˥/ , cantonese
听得  (AWE) , /tɛːŋ˥.dɐk˥/ , cantonese
断断续续  (AWE) , /tyːn˩˧.tyːn˩˧.dzuːk˨.dzuːk˨/ , cantonese
玉龙雪山  (AWE) , /jyːk˨.luːŋ˨˩.syːt˧.saːn˥/ , cantonese
咯  (AWE) , /lɔː˥/ , cantonese
时间  (AWE) , /siː˨˩.ɡaːn˧/ , cantonese
震到  (AWE) , /dzɐn˧.dou˧/ , cantonese
南国旅  (AWE) , /laːm˨˩.ɡɔːk˧.lœy˩˧/ , cantonese
啦  (AWE) , /laː˥/ , cantonese
青岛  (AWE) , /tsɛːŋ˥.dou˧˥/ , cantonese
听到  (AWE) , /tɛːŋ˥.dou˧˥/ , cantonese
啦  (AWE) , /laː˥/ , cantonese
旅行团  (AWE) , /lœy˩˧.hɐŋ˨˩.tyːn˨˩/ , cantonese
叫  (AWE) , /ɡiʊ˧/ , cantonese
果啲  (AWE) , /ɡɔː˧˥.diː˥/ , cantonese
青岛  (AWE) , /tsɛːŋ˥.dou˧˥/ , cantonese
训觉  (AWE) , /fɐn˧.ɡɔːk˧/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
南国旅  (AWE) , /laːm˨˩.ɡɔːk˧.lœy˩˧/ , cantonese
想  (AWE) , /sœːŋ˧˥/ , cantonese
门票  (AWE) , /muːn˨˩.piʊ˧/ , cantonese
畀  (AWE) , /bei˧˥/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
嘛  (AWE) , /maː˧/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
广先  (AWE) , /ɡɔːŋ˧˥.siːn˥/ , cantonese
妄求  (AWE) , /mɔːŋ˩˧.kɐu˨˩/ , cantonese
二十八号  (AWE) , /jiː˨.aː˨.baːt˧.hou˧˥/ , cantonese
包住  (AWE) , /baːŭ˥.dzyː˨/ , cantonese
银纸  (AWE) , /ɐn˨˩.dziː˧˥/ , cantonese
风光  (AWE) , /fuːŋ˥.ɡɔːŋ˥/ , cantonese
十二  (AWE) , /sɐp˨.jiː˨/ , cantonese
山西  (AWE) , /saːn˥.sɐi˥/ , cantonese
四川  (AWE) , /sei˧.tsyːn˥/ , cantonese
广先  (AWE) , /ɡɔːŋ˧˥.siːn˥/ , cantonese
南国旅  (AWE) , /laːm˨˩.ɡɔːk˧.lœy˩˧/ , cantonese
喂  (AWE) , /wɐi˧/ , cantonese
火车  (AWE) , /fɔː˧˥.tsɛː˥/ , cantonese
导游费  (AWE) , /dou˨.jɐu˨˩.fɐi˧/ , cantonese
要求  (AWE) , /jiʊ˥.kɐu˨˩/ , cantonese
哦  (AWE) , /ɔː˥/ , cantonese
去到  (AWE) , /hœy˧.dou˧/ , cantonese
你  (AWE) , /lei˩˧/ , cantonese
蚊  (AWE) , /mɐn˥/ , cantonese
火车  (AWE) , /fɔː˧˥.tsɛː˥/ , cantonese
二十三  (AWE) , /jiː˨.aː˨.saːm˥/ , cantonese
麻麻地  (AWE) , /maː˨˩.maː˧˥.dei˩˧/ , cantonese
广州人  (AWE) , /ɡɔːŋ˧˥.dzɐu˥.jɐn˨˩/ , cantonese
辛苦  (AWE) , /sɐn˥.fuː˧˥/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
云南  (AWE) , /wɐn˨˩.laːm˨˩/ , cantonese
机场  (AWE) , /ɡei˥.tsœːŋ˨˩/ , cantonese
听到  (AWE) , /tɛːŋ˥.dou˧˥/ , cantonese
包食  (AWE) , /baːŭ˥.siːk˨/ , cantonese
自己  (AWE) , /dziː˨.ɡei˧˥/ , cantonese
听到  (AWE) , /tɛːŋ˥.dou˧˥/ , cantonese
九寨沟  (AWE) , /ɡɐu˧˥.dzaːĭ˨.kɐu˥/ , cantonese
云南  (AWE) , /wɐn˨˩.laːm˨˩/ , cantonese
包住  (AWE) , /baːŭ˥.dzyː˨/ , cantonese
当地  (AWE) , /dɔːŋ˥.dei˨/ , cantonese
导游  (AWE) , /dou˨.jɐu˨˩/ , cantonese
野  (AWE) , /jɛː˩˧/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
果啲  (AWE) , /ɡɔː˧˥.diː˥/ , cantonese
去  (AWE) , /hœy˧/ , cantonese
品牌  (AWE) , /bɐn˧˥.paːĭ˨˩/ , cantonese
三清山  (AWE) , /saːm˥.tsɛːŋ˥.saːn˥/ , cantonese
工程  (AWE) , /ɡuːŋ˥.tsiːŋ˨˩/ , cantonese
咋  (AWE) , /dzaː˥/ , cantonese
导游费  (AWE) , /dou˨.jɐu˨˩.fɐi˧/ , cantonese
广之旅  (AWE) , /ɡɔːŋ˧˥.dziː˥.lœy˩˧/ , cantonese
广先  (AWE) , /ɡɔːŋ˧˥.siːn˥/ , cantonese
去  (AWE) , /hœy˧/ , cantonese
喂  (AWE) , /wɐi˧/ , cantonese
果啲  (AWE) , /ɡɔː˧˥.diː˥/ , cantonese
喔  (AWE) , /wɔː˧/ , cantonese
都  (AWE) , /dou˥/ , cantonese
飞机  (AWE) , /fei˥.ɡei˥/ , cantonese
难听  (AWE) , /laːn˨.tɛːŋ˥/ , cantonese
唔  (AWE) , /m˨˩/ , cantonese
民族  (AWE) , /mɐn˨˩.dzuːk˨/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
畅游  (AWE) , /tsœːŋ˧.jɐu˨˩/ , cantonese
辛苦  (AWE) , /sɐn˥.fuː˧˥/ , cantonese
我  (AWE) , /ɔː˩˧/ , cantonese
少少  (AWE) , /siʊ˧˥.siʊ˧˥/ , cantonese
去唔去  (AWE) , /hœy˧.m˨˩.hœy˧/ , cantonese
年头  (AWE) , /liːn˨˩.tɐu˨˩/ , cantonese
麻麻地  (AWE) , /maː˨˩.maː˧˥.dei˩˧/ , cantonese
左  (AWE) , /dzɔː˧˥/ , cantonese
真系  (AWE) , /dzɐn˥.hɐi˨/ , cantonese
啊  (AWE) , /aː˥/ , cantonese
ঘৰতগৈ  (AWE) , /ɡʰɔ.rɔ.tɔ.ɡoi/ , assamese
গৈছো  (AWE) , /ɡoi.sʊ/ , assamese
ধুইছো  (AWE) , /dʰu.i.sʊ/ , assamese
বনাব  (AWE) , /bɔ.nab/ , assamese
আহিছে  (AWE) , /a.hi.sɛ/ , assamese
নবনাও  (AWE) , /nɔ.bɔ.na.o/ , assamese
চাউলকেইটা  (AWE) , /sa.u.lɔ.kɛ.i.ta/ , assamese
বজাৰত  (AWE) , /bɔ.za.rɔt/ , assamese
কৈছো  (AWE) , /koi.sʊ/ , assamese
খবৰতো  (AWE) , /kʰɔ.bɔ.rɔ.tʊ/ , assamese
চাউলকেইটা  (AWE) , /sa.u.lɔ.kɛ.i.ta/ , assamese
বজাৰত  (AWE) , /bɔ.za.rɔt/ , assamese
খবৰ  (AWE) , /kʰɔ.bɔr/ , assamese
এতোটা  (AWE) , /æ.to.ʈa/ , bengali
এ্যা  (AWE) , /æ/ , bengali
কে  (AWE) , /ke/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
এ্যা  (AWE) , /æ/ , bengali
আসিতেছে  (AWE) , /a.ʃi.te.t̠ʃʰe/ , bengali
চালাচ্ছে  (AWE) , /t̠ʃa.lat̠ʃ.t̠ʃʰe/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
মনে  (AWE) , /mo.ne/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
শুক্রবার  (AWE) , /ʃu.kro.bar/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
সবজি  (AWE) , /ʃob.d̠ʒi/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
সবজি  (AWE) , /ʃob.d̠ʒi/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
আছে  (AWE) , /a.t̠ʃʰe/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
করিস  (AWE) , /ko.riʃ/ , bengali
শিখছে  (AWE) , /ʃikʰ.t̠ʃʰe/ , bengali
বলবো  (AWE) , /bol.bo/ , bengali
হ্যালো  (AWE) , /hæ.lo/ , bengali
হাঁ  (AWE) , /hã/ , bengali
সবজি  (AWE) , /ʃob.d̠ʒi/ , bengali
তারপরে  (AWE) , /tar.pɔ.re/ , bengali
আছেন  (AWE) , /a.t̠ʃʰen/ , bengali
সবজি  (AWE) , /ʃob.d̠ʒi/ , bengali
কন  (AWE) , /kɔn/ , bengali
করেন  (AWE) , /kɔ.ren/ , bengali
ভ্যাঁ  (AWE) , /bʰæ̃/ , bengali
কোটে  (AWE) , /ko.ʈe/ , bengali
করিস  (AWE) , /ko.riʃ/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
তারপরে  (AWE) , /tar.pɔ.re/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
সবজি  (AWE) , /ʃob.d̠ʒi/ , bengali
কদ্দিনে  (AWE) , /kɔd.di.ne/ , bengali
আরেকটা  (AWE) , /a.rek.ʈa/ , bengali
না  (AWE) , /na/ , bengali
কন  (AWE) , /kɔn/ , bengali
দিবে  (AWE) , /di.be/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
শুনছো  (AWE) , /ʃun.t̠ʃʰo/ , bengali
সাইকেল  (AWE) , /sa.i.kel/ , bengali
কদ্দিনে  (AWE) , /kɔd.di.ne/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
গেছে  (AWE) , /ɡæ.t̠ʃʰe/ , bengali
পন  (AWE) , /pɔn/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
করি  (AWE) , /ko.ri/ , bengali
নানা  (AWE) , /na.na/ , bengali
কন  (AWE) , /kɔn/ , bengali
দে  (AWE) , /de/ , bengali
হ্যাঁ  (AWE) , /hæ̃/ , bengali
বেহায়া  (AWE) , /be.ha.e.a/ , bengali
কন  (AWE) , /kɔn/ , bengali
তাইতো  (AWE) , /ta.i.to/ , bengali
বলেন  (AWE) , /bɔ.len/ , bengali
په  (AWE) , /ˈpə/ , pashto
انجینیرنګ  (AWE) , /en.d̠ʒi.ne.ˈɾeŋɡ/ , pashto
شې  (AWE) , /ˈʃe/ , pashto
باران  (AWE) , /bɑ.ˈɾɑn/ , pashto
چې  (AWE) , /ˈt̠ʃe/ , pashto
کالج‌مالج  (AWE) , /kɑ.ˈləd̠ʒ mɑ.ˈləd̠ʒ/ , pashto
انجینیرنګ  (AWE) , /en.d̠ʒi.ne.ˈɾeŋɡ/ , pashto
بیمارېږي  (AWE) , /biː.mɑ.ˈɾe.ʒiː/ , pashto
هو  (AWE) , /ˈho/ , pashto
پرون  (AWE) , /pa.ˈɾuːn/ , pashto
وایه  (AWE) , /ˈwɑ.ja/ , pashto
سکول‌مسکول  (AWE) , /ˈskuːl ma.ˈskuːl/ , pashto
بجلي‌مجلي  (AWE) , /bed̠ʒ.ˈliː med̠ʒ.ˈliː/ , pashto
هو  (AWE) , /ˈho/ , pashto
پرېوته  (AWE) , /ˈpɾe.wa.ta/ , pashto
هو  (AWE) , /ˈho/ , pashto
ځې  (AWE) , /ˈdze/ , pashto
وعلیکم  (AWE) , /wɑ.ˈlaj.kum/ , pashto
هغه  (AWE) , /ha.ˈɣə/ , pashto
انجنیر  (AWE) , /en.d̠ʒe.ˈnjaɾ/ , pashto
سړي  (AWE) , /sa.ˈɽiː/ , pashto
دی  (AWE) , /ˈdaj/ , pashto
وي  (AWE) , /ˈwiː/ , pashto
lazımmış  (AWE) , /la.ˈzɨm.mɨʃ/ , turkish
öyleymiş  (AWE) , /øj.ˈlej.miʃ/ , turkish
müsaitse  (AWE) , /my.sa.it.ˈse/ , turkish
hı  (AWE) , /ˈhɨ/ , turkish
konuşamıyorsun  (AWE) , /ko.nu.ˈʃa.mɨ.jon/ , turkish
milyonmuş  (AWE) , /mil.jon.ˈmuʃ/ , turkish
Avusturalya'dan  (AWE) , /a.wus.tu.raɫ.ja.ˈdan/ , turkish
yarın  (AWE) , /ˈja.rɨn/ , turkish
nişanlanmış  (AWE) , /ni.ʃan.ɫan.ˈmɨʃ/ , turkish
Avusturya'dan  (AWE) , /a.wus.ˈtur.ja.dan/ , turkish
görünüyor  (AWE) , /ɟø.ry.ˈny.joɽ/ , turkish
kaçırma  (AWE) , /ka.ˈt̠ʃɨr.ma/ , turkish
arayamazsın  (AWE) , /a.ra.ja.ˈmaz.sɨn/ , turkish
hoşlanmadım  (AWE) , /hoʃ.ɫan.ma.ˈdɨm/ , turkish
otobüstesin  (AWE) , /o.to.bys.te.ˈsin/ , turkish
hı  (AWE) , /ˈhɨ/ , turkish
anladım  (AWE) , /an.ɫa.ˈdɨm/ , turkish
uğraşıyorsun  (AWE) , /uː.ra.ˈʃɨ.jon/ , turkish
arayamayacaksın  (AWE) , /a.rɨ.ˈja.mɨj.d̠ʒak.sɨn/ , turkish
hayatında  (AWE) , /ha.jaː.tɨn.ˈda/ , turkish
olumsuz  (AWE) , /o.ɫum.ˈsuz/ , turkish
anladım  (AWE) , /an.ɫa.ˈdɨm/ , turkish
hasta  (AWE) , /has.ˈta/ , turkish
yapıyorsun  (AWE) , /ja.ˈpɨ.jon/ , turkish
telefon  (AWE) , /te.le.ˈfon/ , turkish
anladım  (AWE) , /an.ɫa.ˈdɨm/ , turkish
anladım  (AWE) , /an.ɫa.ˈdɨm/ , turkish
numaradan  (AWE) , /nu.ma.ra.ˈdan/ , turkish
uğraştım  (AWE) , /uː.ˈraʃ.tɨm/ , turkish
bilmiyorum  (AWE) , /ˈbil.mi.jom/ , turkish
hayırdır  (AWE) , /ha.ˈjɨr.dɨɽ/ , turkish
anneme  (AWE) , /an.ne.ˈme/ , turkish
yani  (AWE) , /jaː.ˈni/ , turkish
şaşıyorum  (AWE) , /ʃa.ˈʃɨ.jom/ , turkish
istiyorsan  (AWE) , /is.ˈti.jo.san/ , turkish
işleri  (AWE) , /iʃ.le.ˈri/ , turkish
hayatında  (AWE) , /ha.jaː.tɨn.ˈda/ , turkish
düşünüyorsun  (AWE) , /dy.ʃy.ˈny.jon/ , turkish
otobüstesin  (AWE) , /o.to.bys.te.ˈsin/ , turkish
Allah  (AWE) , /aɫ.ˈɫa/ , turkish
olman  (AWE) , /oɫ.ˈman/ , turkish
anketleri  (AWE) , /an.cet.le.ˈri/ , turkish
